Player,Squad,Pos,Min,Min_num,low_min_flag,fw_post,fw_role,fw_role_proba,runner_index_raw,runner_index_z_st,alt_role_any,alt_role_any_proba,p_fw_role_INSIDE_FORWARD,p_fw_role_ST_FINISHER,p_fw_role_ST_LINK,p_fw_role_ST_RUNNER,p_fw_role_WIDE_WINGER,p_any_INSIDE_FORWARD,p_any_ST_FINISHER,p_any_ST_LINK,p_any_ST_RUNNER,p_any_WIDE_WINGER
Cody Gakpo,liverpool,FW,1935,1935,False,NON_ST,WIDE_WINGER,0.9927302013257355,112.58700000000002,0.0,ST_FINISHER,0.49999999999975,0.0072697986732645,,,,0.9927302013257355,0.003634899336634067,0.49999999999975,0.0,0.0,0.4963651006631159
Darwin Núñez,liverpool,FW,1133,1133,False,ST,ST_RUNNER,0.999999999999,55.55500000000001,0.8377758319982094,ST_FINISHER,0.49999999999975,,0.999999999999,2.94770098219311e-60,0.0,,0.4999999999997499,0.49999999999975,1.4738504910972917e-60,0.0,3.3205793152637465e-17
Diogo Jota,liverpool,FW,1196,1196,False,ST,ST_LINK,0.999999999999,69.528,1.8450909721041335,INSIDE_FORWARD,0.4999999996295362,,4.9426636473541165e-17,0.999999999999,0.0,,0.4999999996295362,2.471331823678294e-17,0.49999999999975003,0.0,3.702138567321797e-10
Federico Chiesa,liverpool,FW,108,108,True,NON_ST,WIDE_WINGER,0.9999999999881314,57.226,0.0,ST_FINISHER,0.49999999999975,1.0868608680604452e-11,,,,0.9999999999881314,5.4343043403049425e-12,0.49999999999975,4.429332597078391e-108,0.0,0.49999999999431566
Luis Díaz,liverpool,FW,2399,2399,False,NON_ST,INSIDE_FORWARD,0.9999999999988658,118.701,0.0,ST_FINISHER,0.49999999999975,0.9999999999988658,,,,1.3426487990670043e-13,0.49999999999968286,0.49999999999975,0.0,0.0,6.713243995338378e-14
Mohamed Salah,liverpool,FW,3371,3371,False,NON_ST,INSIDE_FORWARD,0.999999999999,113.512,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,1.3318961387347812e-27,0.49999999999975,0.49999999999975,0.0,0.0,6.659480693677235e-28
Claudio Echeverri,manchester city,FW,6,6,True,ST,ST_FINISHER,0.999999999999,111.0,4.834812112193799,INSIDE_FORWARD,0.49999999999974437,,0.999999999999,0.0,0.0,,0.49999999999974437,0.49999999999975,0.0,0.0,5.618476527891185e-15
Divin Mubama,manchester city,FW,28,28,True,ST,ST_FINISHER,0.999999999999,7.284,-2.6420859820755815,INSIDE_FORWARD,0.49999999998342143,,0.999999999999,0.0,0.0,,0.49999999998342143,0.49999999999975,0.0,0.0,1.6328551222191747e-11
Erling Haaland,manchester city,FW,2736,2736,False,ST,ST_FINISHER,0.999999999999,29.121999999999996,-1.0677821082021706,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,2.2806358003565265e-19
Oscar Bobb,manchester city,FW,16,16,True,NON_ST,INSIDE_FORWARD,0.999999999999,153.5,0.0,ST_FINISHER,0.49999999999975,0.999999999999,,,,8.954995238090397e-61,0.49999999999975,0.49999999999975,0.0,0.0,2.582407838905531e-61
Chidozie Obi-Martin,manchester utd,FW,165,165,True,ST,ST_FINISHER,0.999999999999,36.547999999999995,-0.5324409337638544,INSIDE_FORWARD,0.49999999999975,,0.999999999999,0.0,0.0,,0.49999999999975,0.49999999999975,0.0,0.0,8.243210934962343e-20
Rasmus Højlund,manchester utd,FW,2004,2004,False,ST,ST_FINISHER,0.999999999999,36.067,-0.567116277812444,INSIDE_FORWARD,0.49999999999975,,0.999999999999,3.785766995729789e-270,0.0,,0.49999999999975,0.49999999999975,1.8928834978658409e-270,0.0,1.2682293080797926e-23
Alexander Isak,newcastle utd,FW,2756,2756,False,ST,ST_LINK,0.999999999999,70.70199999999998,1.929724764023144,INSIDE_FORWARD,0.4999993257293513,,9.088463633774516e-23,0.999999999999,0.0,,0.4999993257293513,4.54423181688953e-23,0.49999999999975,0.0,6.742703986766322e-07
