Player,Squad,Pos,Min,Min_num,low_min_flag,df_post,cb_role,cb_role_proba,cb_role_cluster,p_cb_role_CB_DUEL,p_cb_role_CB_HYBRID,p_cb_role_CB_BUILDER
Radu Drăgușin,tottenham,DF,1252,1252,False,CB,CB_HYBRID,0.9916206029767641,1,0.00837939702221649,0.9916206029767641,1.9352198919068153e-14
Jean-Clair Todibo,west ham,DF,1825,1825,False,CB,CB_DUEL,0.9935284665373465,0,0.9935284665373465,0.006471533461653539,3.0114645548694055e-35
Kaelan Casey,west ham,DF,1,1,True,CB,CB_DUEL,0.9903878127460067,0,0.9903878127460067,0.009612187252993199,2.129367906367185e-80
Konstantinos Mavropanos,west ham,DF,2045,2045,False,CB,CB_DUEL,0.9999600824892859,0,0.9999600824892859,3.991750971414262e-05,8.708755403778262e-22
Max Kilman,west ham,DF,3348,3348,False,CB,CB_DUEL,0.9937042783884851,0,0.9937042783884851,0.006295721610514974,3.3066970328835513e-24
Alfie Pond,wolves,DF,1,1,True,CB,CB_DUEL,0.986552700854871,0,0.986552700854871,0.013447299144128892,5.780807797862355e-87
Craig Dawson,wolves,DF,971,971,False,CB,CB_DUEL,0.9998823666081613,0,0.9998823666081613,0.00011763339083857451,1.308777446247162e-33
Emmanuel Agbadou,wolves,DF,1410,1410,False,CB,CB_DUEL,0.9803097607390056,0,0.9803097607390056,0.01969023925999444,4.856637670807991e-25
Nasser Djiga,wolves,DF,66,66,True,CB,CB_DUEL,0.8886885451544062,0,0.8886885451544062,0.11131145484458264,1.1083372242865145e-14
Santiago Bueno,wolves,DF,1687,1687,False,CB,CB_DUEL,0.9990003146145383,0,0.9990003146145383,0.0009996853844615801,6.808265421754447e-48
Toti Gomes,wolves,DF,2614,2614,False,CB,CB_DUEL,0.8339406003413444,0,0.8339406003413444,0.16605939965765545,2.883968992780022e-23
Yerson Mosquera,wolves,DF,441,441,True,CB,CB_DUEL,0.9996096779888791,0,0.9996096779888791,0.0003903220101207525,7.807796684625374e-27
